Year,Month,World,Education,Home & Garden,Great Homes & Destinations,Science,The Learning Network,Giving,Obituaries,Theater,Universal,Arts,The Upshot,Front Page,Real Estate,Corrections,Automobiles,International Home,Times Insider,"Great Homes, Destinations",Opinion,Books,Travel,Blogs,Food,Fashion & Style,Briefing,U.S.,Magazine,Crosswords & Games,Technology,Podcasts,Health,Movies,NYT Now,National,Multimedia,Unknown,N.Y. / Region,Sunday Review,Watching,Booming,Your Money,Times Topics,Dining & Wine,Business,Public Editor,T:Style,Washington,Well,Open,Sports,T Magazine,Week in Review,Job Market,New York
2012,1,28.375,43.33333333,48.8372093,72.72727273,39.7260274,,,22.22222222,22.12389381,,37.22316865,,18.18181818,41.83673469,,16.05504587,,,,14.84210526,44.82758621,70.71428571,,5.882352941,44.51901566,,43.23266219,29.29936306,4,29.7008547,,51.79282869,43.55828221,,,52.73972603,16.55629139,36.56914894,27.27272727,,,22.22222222,,80.76923077,26.306914,,50.4398827,22.22222222,,0,28.33117723,100,,30,
2012,2,32.21216041,50,57.44680851,75,41.7989418,,,24,14,,38.05584281,,14.28571429,37.93103448,,11.81818182,,,,17.27672035,39.70588235,69.23076923,0,10.52631579,44.20600858,,44.50549451,34.17721519,4.166666667,24.30555556,,49.20634921,47.5,,,60.46511628,22.55319149,37.83359498,33.33333333,,,20,,80,27.62784091,,50.74183976,16.66666667,,0,27.50716332,69.23076923,,55.55555556,
2012,3,31.05849582,34.09090909,57.37704918,90,43.50282486,,,14.70588235,25.71428571,,34.7342398,,15.38461538,33.33333333,,15.46391753,,,,18.60068259,40.27777778,54.54545455,0,11.76470588,44.09448819,,44.95049505,36.05442177,2.941176471,23.52941176,,53.125,39.42857143,,,55.29411765,15.90909091,35.9375,25,,,26.92307692,0,83.63636364,26.68195719,,44.94949495,20,,,25.94142259,33.33333333,,50,
2012,4,32.94964029,33.33333333,51.06382979,71.42857143,40.11976048,,,4.166666667,16.36363636,,32.77108434,,80,32.67326733,,20.53571429,,,,18.02973978,41.7721519,71.2962963,0,12.5,41.66666667,,40.98573281,37.71428571,5.263157895,26.43171806,,56.70103093,34.40860215,,,65.27777778,7.142857143,41.84514003,36.36363636,,,11.11111111,0,79.31034483,27.48091603,,45.80152672,23.07692308,,0,22.17659138,70,,30,
2012,5,31.80568286,34,47.82608696,71.42857143,49.6124031,,,18.6440678,25.76687117,,32.89256198,,51.72413793,40.17094017,,20,,,,17.18309859,42.68292683,55.97014925,,20,38.7654321,,36.05292172,31.35135135,7.936507937,25.40540541,,51.85185185,36.22641509,,,52.17391304,29.13385827,41.24203822,25,,,35.29411765,0,73.45132743,28.21336761,,38.46153846,32.3699422,,,26.00864553,33.33333333,,33.33333333,
2012,6,28.06499261,22.5,46.80851064,91.66666667,44.38202247,,,16.66666667,20,,34.06060606,,53.33333333,35.44303797,,16.84210526,,,,20.22058824,40.25157233,74.44444444,0,35,42.95532646,,40.39215686,34.05797101,7.272727273,24.34456929,,54.4973545,30.82191781,,,37.25490196,4.615384615,34.36532508,20,,,30,0,76.36363636,29.07861369,,51.92307692,50,,0,18.43778383,44.44444444,,25,
2012,7,32.67776097,40.81632653,63.26530612,66.66666667,37.98076923,,,11.11111111,25.24271845,,33.6473755,,36.36363636,57.42574257,,9.677419355,,,,18.44827586,35.71428571,70,0,26.31578947,45.97315436,,43.04160689,34.61538462,8.928571429,27.71535581,,42.93478261,39.24050633,,,53.57142857,7.246376812,36.42276423,22.22222222,,,29.41176471,,70.37037037,30.17094017,,50,55.55555556,,0,20.83333333,100,,30,
2012,8,33.43558282,39.02439024,66.17647059,80,47.15909091,,,5.555555556,26.73267327,,36.28447025,,35.29411765,61.25,0,9.782608696,,,,17.39130435,39.61038961,77.21518987,0,28.57142857,44.40298507,,37.37373737,31.81818182,5.454545455,33.89830508,,59.88023952,34.46327684,,,18.75,23.07692308,40.65335753,30,,,13.33333333,,78.46153846,32.99351251,,50.80645161,52.38095238,,33.33333333,22.09775967,20,,50,
2012,9,30.65250379,48.07692308,73.46938776,75,45.89041096,,,14.28571429,17.39130435,,33.43653251,,50,59.49367089,,13.79310345,,,,14.53287197,40.74074074,77.10843373,,21.05263158,41.05263158,,42.84176534,30,5.357142857,28.44444444,,48.125,41.76470588,,,33.33333333,19.29824561,39.73128599,33.33333333,,16,5.263157895,,75.55555556,30.22751896,0,55.02183406,47.05882353,,100,20.24886878,42.10526316,,20,
2012,10,35.20547945,58.33333333,55.10204082,75,43.93939394,,,,18.57142857,,35.39823009,,,40.74074074,,9.574468085,,,,17.2972973,41.52542373,51.66666667,,37.93103448,40.98360656,,41.75588865,33.04347826,8.196721311,34.80176211,,53.7414966,40.83333333,,,51.51515152,12.5,41.27579737,12.5,,12.96296296,11.76470588,,80,24.64065708,0,43.91891892,,,100,21.1622807,50,,62.5,
2012,11,31.04786546,36.11111111,64.51612903,80,44.64285714,,19.04761905,,20.58823529,,34.15492958,,,40.42553191,,23.40425532,,,,16.38095238,38.16793893,66.10169492,,23.07692308,44.39834025,,39.70588235,25.27472527,14.51612903,29.75609756,,52.38095238,36.95652174,,,21.42857143,18.75,35.36585366,50,,25,40,,72.34042553,29.95169082,0,32.43243243,,,75,25.52238806,25,,50,
2012,12,30.99730458,39.13043478,68.88888889,83.33333333,48.55072464,,,,25,,36.83333333,,,50,,12.82051282,,,,21.04121475,38.51351351,69.35483871,,27.77777778,44.85981308,,41.21863799,36.22047244,8.333333333,24.87562189,,50.81967213,32.32323232,,,52.5,17.56756757,32.79279279,9.090909091,,21.42857143,15.78947368,,82.35294118,32.29308005,0,46,,,80,30.97199341,,,30,
2013,1,36.84210526,31.03448276,71.69811321,71.42857143,30.18867925,,,0,18.66666667,,43.32810047,,,48.07692308,,19.04761905,,,,14.93123772,38.0952381,68.62745098,,38.0952381,35.48387097,,35.2484472,30.37974684,8.620689655,25.59241706,,49.66887417,42.01680672,,,32.35294118,24.56140351,36.17810761,50,,32.14285714,10.52631579,,69.23076923,28.48904268,0,45.36082474,,,0,25.62417871,0,,50,
2013,2,37.90664781,37.5,60,84.61538462,27.64227642,,,0,21.31147541,,36.21323529,,,52.94117647,,14.70588235,,,,25.41322314,39.80582524,72.30769231,,45.45454545,36.84210526,,34.66003317,38.96103896,9.433962264,35.67567568,,53.38983051,32.74336283,,,11.9047619,18.42105263,41.38655462,50,,26.66666667,18.75,,74.07407407,30.15494636,0,62.44541485,,,0,23.95498392,64.28571429,,37.5,
2013,3,36.82170543,34.48275862,64.28571429,80,27.45098039,,,0,22.34042553,0,27.72020725,,75,60.49382716,,18.33333333,,,,17.8057554,32.57575758,58.49056604,0,31.81818182,33.64485981,,40.3785489,33.33333333,5.970149254,21.89054726,,46.1038961,41.8079096,,,55.81395349,13.88888889,37.84722222,45.45454545,,41.37931034,41.37931034,,67.64705882,29.95689655,0,48.14814815,50,,0,16.13924051,38.46153846,,50,
