section_name,firstname,pub_date,gender
U.S.,Alan,2017-06-02,M
Sports,Seth,2017-06-02,M
Climate,Nadja,2017-06-02,F
U.S.,Julie,2017-06-02,F
Sports,Richard,2017-06-02,M
The Upshot,Neil,2017-06-02,M
World,Rick,2017-06-02,M
World,Craig,2017-06-02,M
N.Y. / Region,Winnie,2017-06-02,F
Briefing,Karen,2017-06-02,F
World,Steve,2017-06-02,M
Arts,Angelica,2017-06-02,F
Well,C.,2017-06-02,U
Fashion & Style,Vanessa,2017-06-02,F
N.Y. / Region,J.,2017-06-02,U
Smarter Living,Tim,2017-06-02,M
Books,John,2017-06-02,M
Arts,Alastair,2017-06-02,M
Business Day,Robert,2017-06-02,M
World,Alison,2017-06-02,F
Opinion,Ellie,2017-06-02,F
Times Insider,Andrea,2017-06-02,F
N.Y. / Region,Elizabeth,2017-06-02,F
Food,Ligaya,2017-06-02,F
World,Ellen,2017-06-02,F
Watching,Noel,2017-06-02,M
Real Estate,Michelle,2017-06-02,F
Arts,Dan,2017-06-02,M
Theater,Laura,2017-06-02,F
Business Day,Ann,2017-06-02,F
Arts,Daniel,2017-06-02,M
Magazine,Tom,2017-06-02,M
U.S.,Peter,2017-06-02,M
Business Day,Binyamin,2017-06-02,M
Opinion,Masha,2017-06-02,F
Opinion,Susan,2017-06-02,F
U.S.,Linda,2017-06-02,F
Fashion & Style,Denny,2017-06-02,M
Fashion & Style,Denny,2017-06-02,M
Briefing,Anna,2017-06-02,F
Arts,Neil,2017-06-02,M
World,Chris,2017-06-02,M
World,Jacey,2017-06-02,F
Arts,James,2017-06-02,M
N.Y. / Region,Anna,2017-06-02,F
Arts,Hilarie,2017-06-02,F
Times Insider,Dan,2017-06-02,M
N.Y. / Region,James,2017-06-02,M
Arts,Doreen,2017-06-02,F
Times Insider,Keith,2017-06-02,M
Arts,Zachary,2017-06-02,M
World,Aurora,2017-06-02,F
Arts,Sopan,2017-06-02,U
World,Richard,2017-06-02,M
Fashion & Style,Ruth,2017-06-02,F
Real Estate,Reported,2017-06-02,U
Real Estate,Michelle,2017-06-02,F
Sports,Scott,2017-06-02,M
Theater,Jennifer,2017-06-02,F
Theater,Sopan,2017-06-02,U
Sports,Victor,2017-06-02,M
U.S.,Christopher,2017-06-02,M
N.Y. / Region,Hiroyuki,2017-06-02,M
Business Day,Diane,2017-06-02,F
Real Estate,Vivian,2017-06-02,F
Food,David,2017-06-02,M
U.S.,Jon,2017-06-02,M
Science,Joanna,2017-06-02,F
Arts,Neil,2017-06-02,M
Arts,Jon,2017-06-02,M
Climate,Edward,2017-06-02,M
Real Estate,Michael,2017-06-02,M
World,Ed,2017-06-02,M
Sports,Ben,2017-06-02,M
U.S.,Adam,2017-06-02,M
Science,Nicholas,2017-06-02,M
Science,Nicholas,2017-06-02,M
Arts,Christopher,2017-06-02,M
World,Geeta,2017-06-02,F
Real Estate,Kim,2017-06-02,F
U.S.,Mark,2017-06-02,M
The Upshot,N.,2017-06-02,U
Business Day,Ben,2017-06-02,M
Arts,Louis,2017-06-02,M
Books,Maria,2017-06-02,F
Science,Kenneth,2017-06-02,M
Business Day,Melissa,2017-06-02,F
Business Day,Jonathan,2017-06-02,M
Food,Melissa,2017-06-02,F
Food,Alec,2017-06-02,M
Public Editor,Liz,2017-06-02,F
Real Estate,Ronda,2017-06-02,F
Business Day,Vivian,2017-06-02,F
Job Market,Daniel,2017-06-02,M
U.S.,Christopher,2017-06-02,M
Job Market,Patricia,2017-06-02,F
Opinion,Stuart,2017-06-02,M
Sports,Rory,2017-06-02,M
Food,Sam,2017-06-02,M
Books,Philip,2017-06-02,M
Books,Frances,2017-06-02,F
World,Craig,2017-06-02,M
Technology,Jim,2017-06-02,M
Technology,J.,2017-06-02,U
Books,Lisa,2017-06-02,F
Books,Gregory,2017-06-02,M
Books,Sheila,2017-06-02,F
Business Day,Jonathan,2017-06-02,M
Books,Parul,2017-06-02,F
Opinion,Garrett,2017-06-02,M
Movies,Kathryn,2017-06-02,F
Books,Elinor,2017-06-02,F
The Upshot,Neil,2017-06-02,M
Books,Sergio,2017-06-02,M
Books,Edward,2017-06-02,M
Watching,Scott,2017-06-02,M
Books,Kathleen,2017-06-02,F
Technology,Niraj,2017-06-02,M
Books,Noah,2017-06-02,M
Real Estate,Gene,2017-06-02,M
Arts,Scott,2017-06-02,M
Opinion,David,2017-06-02,M
Business Day,Patricia,2017-06-02,F
Theater,Matt,2017-06-02,M
Books,Fen,2017-06-02,U
U.S.,Mike,2017-06-02,M
Books,Hermione,2017-06-02,F
Sports,Joe,2017-06-02,M
Books,Alan,2017-06-02,M
Books,Joumana,2017-06-02,U
Sports,Harvey,2017-06-02,M
U.S.,Matt,2017-06-02,M
Books,Ann,2017-06-02,F
World,Alison,2017-06-02,F
Books,Rowan,2017-06-02,GN
Books,Tom,2017-06-02,M
The Upshot,Kim,2017-06-02,F
World,Michael,2017-06-02,M
Business Day,Adam,2017-06-02,M
Books,Suzanne,2017-06-02,F
Books,Terry,2017-06-02,M
N.Y. / Region,Kathryn,2017-06-02,F
The Learning Network,Shannon,2017-06-02,F
Books,John,2017-06-02,M
Books,Bruce,2017-06-02,M
N.Y. / Region,Jonathan,2017-06-02,M
Fashion & Style,Linda,2017-06-02,F
Well,Karen,2017-06-02,F
Books,J.,2017-06-02,U
Books,Jason,2017-06-02,M
Well,David,2017-06-02,M
Well,Toby,2017-06-02,M
Magazine,Sammy,2017-06-02,M
Magazine,Francesco,2017-06-02,M
Magazine,Bianca,2017-06-02,F
Magazine,Andrew,2017-06-02,M
Magazine,Wesley,2017-06-02,M
Magazine,K.,2017-06-02,U
Magazine,Bill,2017-06-02,M
Magazine,Robert,2017-06-02,M
Magazine,David,2017-06-02,M
Magazine,Tillie,2017-06-02,F
World,Mujib,2017-06-02,U
Business Day,Sei,2017-06-02,M
Podcasts,Michael,2017-06-02,M
Books,Jeanine,2017-06-02,F
Briefing,Sean,2017-06-02,M
The Upshot,Claire,2017-06-02,F
U.S.,Anemona,2017-06-02,U
U.S.,Erica,2017-06-02,F
World,Matthew,2017-06-02,M
Your Money,Ron,2017-06-02,M
Business Day,Patricia,2017-06-02,F
Climate,Nadja,2017-06-02,F
N.Y. / Region,Sarah,2017-06-02,F
Books,J.,2017-06-02,U
Books,Catherine,2017-06-02,F
Travel,Lynn,2017-06-02,F
N.Y. / Region,Emily,2017-06-02,F
Real Estate,Michelle,2017-06-02,F
Opinion,Patrick,2017-06-02,M
N.Y. / Region,Niko,2017-06-02,M
Arts,Giovanni,2017-06-02,M
Opinion,Nathan,2017-06-02,M
Opinion,Helene,2017-06-02,F
Opinion,David,2017-06-02,M
The Learning Network,Katherine,2017-06-02,F
The Learning Network,Caroline,2017-06-02,F
U.S.,Adam,2017-06-02,M
The Learning Network,Caroline,2017-06-02,F
Sports,Rory,2017-06-02,M
Arts,Kathryn,2017-06-02,F
Briefing,Patrick,2017-06-02,M
Travel,Michael,2017-06-02,M
Travel,Nicholas,2017-06-02,M
Style,Helen,2017-06-02,F
Sports,Scott,2017-06-02,M
Sports,Billy,2017-06-02,M
U.S.,Mark,2017-06-02,M
World,Matt,2017-06-02,M
Theater,Ben,2017-06-02,M
Crosswords & Games,Deb,2017-06-02,F
Sports,Tim,2017-06-02,M
U.S.,David,2017-06-02,M
Climate,Peter,2017-06-02,M
U.S.,Emmarie,2017-06-02,F
U.S.,Jess,2017-06-02,M
N.Y. / Region,James,2017-06-02,M
Sports,Ben,2017-06-02,M
Business Day,Mary,2017-06-02,F
Business Day,Noam,2017-06-02,M
Business Day,Michael,2017-06-02,M
World,Alison,2017-06-02,F
U.S.,Charlie,2017-06-02,M
Sports,Harvey,2017-06-02,M
Automobiles,Neal,2017-06-02,M
Climate,Hiroko,2017-06-02,F
Arts,Sam,2017-06-02,M
N.Y. / Region,Andy,2017-06-02,M
Sports,Richard,2017-06-02,M
Business Day,Daniel,2017-06-02,M
N.Y. / Region,Barbara,2017-06-02,F
Science,Katie,2017-06-01,F
N.Y. / Region,Ginia,2017-06-01,F
N.Y. / Region,Colin,2017-06-01,M
Business Day,Brooks,2017-06-01,M
Business Day,Rachel,2017-06-01,F
Arts,Richard,2017-06-01,M
Books,Dwight,2017-06-01,M
Arts,Laurel,2017-06-01,F
Opinion,Paul,2017-06-01,M
Briefing,Karen,2017-06-01,F
Business Day,Daniel,2017-06-01,M
World,Patrick,2017-06-01,M
N.Y. / Region,Helene,2017-06-01,F
Movies,Ben,2017-06-01,M
Opinion,Bari,2017-06-01,F
Arts,Gia,2017-06-01,F
Health,Pam,2017-06-01,F
