section_name,firstname,pub_date,gender
World,Dan,2017-05-02,M
Arts,Sam,2017-05-02,M
Business Day,Landon,2017-05-02,M
Opinion,Emily,2017-05-02,F
Sports,Ken,2017-05-02,M
Climate,John,2017-05-02,M
Business Day,Brooks,2017-05-02,M
Sports,Richard,2017-05-02,M
Briefing,Karen,2017-05-02,F
N.Y. / Region,Michael,2017-05-02,M
U.S.,Mark,2017-05-02,M
U.S.,Rebecca,2017-05-02,F
Arts,Thurston,2017-05-02,M
N.Y. / Region,Charles,2017-05-02,M
Fashion & Style,Matthew,2017-05-02,M
U.S.,William,2017-05-02,M
Watching,Noel,2017-05-02,M
Food,Florence,2017-05-02,F
Health,Gina,2017-05-02,F
Sports,Daniel,2017-05-02,M
Movies,Daniel,2017-05-02,M
Times Insider,Rick,2017-05-02,M
Movies,Glenn,2017-05-02,M
Briefing,Charles,2017-05-02,M
Food,Julia,2017-05-02,F
Food,Jason,2017-05-02,M
Theater,Michael,2017-05-02,M
Arts,Catherine,2017-05-02,F
Theater,Alexis,2017-05-02,F
Movies,Nida,2017-05-02,F
Arts,Brian,2017-05-02,M
Business Day,Niraj,2017-05-02,M
Arts,Marina,2017-05-02,F
Opinion,Andrea,2017-05-02,F
Theater,Joshua,2017-05-02,M
World,Anne,2017-05-02,F
World,Sewell,2017-05-02,M
Opinion,Andrea,2017-05-02,F
World,Jacqueline,2017-05-02,F
Style,Steven,2017-05-02,M
World,Andrew,2017-05-02,M
Arts,Angelica,2017-05-02,F
World,Simon,2017-05-02,M
Health,Reed,2017-05-02,M
Fashion & Style,Guy,2017-05-02,M
Watching,Monica,2017-05-02,F
Arts,Margaret,2017-05-02,F
Food,Arthur,2017-05-02,M
U.S.,Mitch,2017-05-02,M
Business Day,John,2017-05-02,M
Arts,Mike,2017-05-02,M
U.S.,Alexander,2017-05-02,M
U.S.,John,2017-05-02,M
U.S.,Manny,2017-05-02,M
Food,Kim,2017-05-02,F
World,Henrik,2017-05-02,M
Health,Abby,2017-05-02,F
