section_name,firstname,pub_date,gender
Media,John,2017-10-02,M
DealBook,Andrew,2017-10-02,M
Politics,Scott,2017-10-02,M
Politics,Jim,2017-10-02,M
Media,Brooks,2017-10-02,M
Europe,Oleg,2017-10-02,M
Art,Hilary,2017-10-02,F
DealBook,Landon,2017-10-02,M
Middle East,David,2017-10-02,M
Hockey,Curtis,2017-10-02,M
Politics,Adam,2017-10-02,M
Asia Pacific,Mujib,2017-10-02,U
Art & Design,Robin,2017-10-02,F
DealBook,Swaha,2017-10-02,U
Politics,Linda,2017-10-02,F
Men’s Style,Sridhar,2017-10-02,M
Television,Margaret,2017-10-02,F
Baseball,Elena,2017-10-02,F
Asia Pacific,Javier,2017-10-02,M
Middle East,Helene,2017-10-02,F
Asia Pacific,Felipe,2017-10-02,M
Europe,Steven,2017-10-02,M
Baseball,Tyler,2017-10-02,M
Olympics,Tariq,2017-10-02,M
Europe,Aurelien,2017-10-02,U
Asia Pacific,Motoko,2017-10-02,U
Politics,Mark,2017-10-02,M
DealBook,Elizabeth,2017-10-02,F
Personal Tech,J.,2017-10-02,U
DealBook,Chad,2017-10-02,M
DealBook,Amie,2017-10-02,F
Europe,Raphael,2017-10-02,M
Asia Pacific,Austin,2017-10-02,M
Family,Perri,2017-10-02,F
Eat,Jane,2017-10-02,F
The Daily,Michael,2017-10-02,M
Book Review,John,2017-10-02,M
Book Review,Mary,2017-10-02,F
Media,John,2017-10-02,M
Politics,Jonathan,2017-10-02,M
Columnists,Charles,2017-10-02,M
Television,Sara,2017-10-02,F
Golf,Karen,2017-10-02,F
Media,Sydney,2017-10-02,F
Men’s Style,Alexander,2017-10-02,M
Baseball,James,2017-10-02,M
Television,Scott,2017-10-02,M
Television,Sopan,2017-10-02,U
Television,Genevieve,2017-10-02,F
Europe,Ellen,2017-10-02,F
Pro Football,Bill,2017-10-02,M
Politics,Peter,2017-10-02,M
Pro Football,John,2017-10-02,M
Canada,Ian,2017-10-02,M
Baseball,Wallace,2017-10-02,M
Media,Maggie,2017-10-02,F
Golf,Karen,2017-10-01,F
Politics,Eric,2017-10-01,M
Art & Design,Graham,2017-10-01,M
Baseball,Billy,2017-10-01,M
Music,Seth,2017-10-01,M
Europe,Malachy,2017-10-01,M
Media,Sapna,2017-10-01,F
Asia Pacific,Taimoor,2017-10-01,M
Politics,Katie,2017-10-01,F
Canada,Dan,2017-10-01,M
Americas,Shasta,2017-10-01,F
Music,Michael,2017-10-01,M
Politics,Peter,2017-10-01,M
Politics,Michael,2017-10-01,M
Europe,Aurelien,2017-10-01,U
Television,James,2017-10-01,M
Politics,Emily,2017-10-01,F
Europe,Melissa,2017-10-01,F
Art & Design,Laurel,2017-10-01,F
Middle East,Nada,2017-10-01,F
Politics,Adam,2017-10-01,M
Middle East,Rod,2017-10-01,M
Politics,Charlie,2017-10-01,M
Television,Dave,2017-10-01,M
Europe,Raphael,2017-10-01,M
Music,Caryn,2017-10-01,F
Europe,Andrew,2017-10-01,M
Television,Andrew,2017-10-01,M
Pro Football,Kevin,2017-10-01,M
Middle East,Tamir,2017-10-01,M
Baseball,James,2017-10-01,M
Politics,Carl,2017-10-01,M
Baseball,Tyler,2017-10-01,M
Politics,Emily,2017-10-01,F
Baseball,Billy,2017-10-01,M
Africa,Eric,2017-10-04,M
Baseball,Billy,2017-10-04,M
Politics,Sheryl,2017-10-04,F
Politics,Binyamin,2017-10-04,M
Politics,Robert,2017-10-04,M
Food,Ligaya,2017-10-04,F
Politics,Linda,2017-10-04,F
Politics,Charlie,2017-10-04,M
Canada,Ian,2017-10-04,M
DealBook,Tom,2017-10-04,M
Music,Anthony,2017-10-04,M
College Basketball,Marc,2017-10-04,M
Lesson Plans,Michael,2017-10-04,M
Europe,Carlotta,2017-10-04,F
Dance,Roslyn,2017-10-04,F
Middle East,Rick,2017-10-04,M
Europe,Raphael,2017-10-04,M
Asia Pacific,Charlotte,2017-10-04,F
Pro Football,Justin,2017-10-04,M
Art & Design,Andrew,2017-10-04,M
Politics,Nicholas,2017-10-04,M
Music,Joe,2017-10-04,M
Europe,Liam,2017-10-04,M
Music,Jon,2017-10-04,M
Dance,Brian,2017-10-04,M
Personal Tech,Laura,2017-10-04,F
Television,Jeremy,2017-10-04,M
Media,Sydney,2017-10-04,F
Music,Marie,2017-10-04,F
Europe,Ivan,2017-10-04,M
Men’s Style,Alex,2017-10-04,M
Art & Design,Robin,2017-10-04,F
Personal Tech,John,2017-10-04,M
Europe,Liam,2017-10-04,M
Politics,Peter,2017-10-04,M
Asia Pacific,Joe,2017-10-04,M
Europe,Martin,2017-10-04,M
Personal Tech,J.,2017-10-04,U
Politics,Mark,2017-10-04,M
Europe,Stephen,2017-10-04,M
Baseball,Wallace,2017-10-04,M
Art & Design,Daniel,2017-10-04,M
Art & Design,Roberta,2017-10-04,F
DealBook,Amie,2017-10-04,F
The Daily,Michael,2017-10-04,M
DealBook,Peter,2017-10-04,M
Mind,David,2017-10-04,M
Move,Gretchen,2017-10-04,F
Australia,Adam,2017-10-04,M
Europe,Dan,2017-10-04,M
Pro Football,Juliet,2017-10-04,F
Television,Jason,2017-10-04,M
Book Review,Orville,2017-10-04,M
Book Review,Major,2017-10-04,M
Book Review,Hannah,2017-10-04,F
Television,Giovanni,2017-10-04,M
Contributors,David,2017-10-04,M
DealBook,Mary,2017-10-04,F
Hockey,Andrew,2017-10-04,M
Television,Austin,2017-10-04,M
Politics,Matt,2017-10-04,M
Baseball,Tyler,2017-10-04,M
Baseball,Wallace,2017-10-04,M
Politics,Linda,2017-10-04,F
Middle East,Thomas,2017-10-04,M
Music,Maya,2017-10-03,F
Skiing,Bill,2017-10-03,M
Europe,Alissa,2017-10-03,F
Olympics,Jeré,2017-10-03,U
Politics,Charlie,2017-10-03,M
Politics,Justin,2017-10-03,M
Pro Basketball,Kevin,2017-10-03,M
Canada,Ian,2017-10-03,M
Politics,Alan,2017-10-03,M
Editorials,Jesse,2017-10-03,M
Middle East,Christine,2017-10-03,F
Politics,Robert,2017-10-03,M
Middle East,Anne,2017-10-03,F
Middle East,Rod,2017-10-03,M
DealBook,Carol,2017-10-03,F
Music,Jon,2017-10-03,M
Live,Nicholas,2017-10-03,M
Europe,Ellen,2017-10-03,F
Media,Sydney,2017-10-03,F
Men’s Style,Alex,2017-10-03,M
Media,John,2017-10-03,M
Music,Michael,2017-10-03,M
Middle East,Nour,2017-10-03,F
Americas,Nicholas,2017-10-03,M
Baseball,Wallace,2017-10-03,M
Soccer,Tariq,2017-10-03,M
Art & Design,Andrew,2017-10-03,M
Men’s Style,Bee,2017-10-03,M
Music,James,2017-10-03,M
Asia Pacific,Sameer,2017-10-03,M
Europe,Stephen,2017-10-03,M
Baseball,Ben,2017-10-03,M
Music,Jon,2017-10-03,M
Music,Reggie,2017-10-03,M
Baseball,Victor,2017-10-03,M
Dance,Alastair,2017-10-03,M
Television,Caitriona,2017-10-03,F
Asia Pacific,Kai,2017-10-03,M
Baseball,James,2017-10-03,M
Dance,Gia,2017-10-03,F
Pro Basketball,Scott,2017-10-03,M
Politics,Sheryl,2017-10-03,F
DealBook,David,2017-10-03,M
Media,Michael,2017-10-03,M
Commercial Real Estate,Jane,2017-10-03,F
Music,Ben,2017-10-03,M
Americas,Gardiner,2017-10-03,M
Commercial Real Estate,Rosalie,2017-10-03,F
Economy,Eduardo,2017-10-03,M
Pro Football,Victor,2017-10-03,M
Personal Tech,J.,2017-10-03,U
Europe,Raphael,2017-10-03,M
Music,Michael,2017-10-03,M
Art & Design,Ted,2017-10-03,M
DealBook,Amie,2017-10-03,F
The Daily,Michael,2017-10-03,M
Live,Anahad,2017-10-03,U
Family,Amy,2017-10-03,F
Mind,Nicholas,2017-10-03,M
Politics,Adam,2017-10-03,M
Environment,Jugal,2017-10-03,U
Men’s Style,John,2017-10-03,M
Book Review,Francis,2017-10-03,M
Book Review,Jan,2017-10-03,F
Book Review,Kathryn,2017-10-03,F
Book Review,Amor,2017-10-03,F
Men’s Style,Max,2017-10-03,M
Americas,Kassie,2017-10-03,F
Television,Giovanni,2017-10-03,M
Politics,Eric,2017-10-03,M
Music,Meg,2017-10-03,F
Book Review,Nicole,2017-10-03,F
Baseball,Tyler,2017-10-03,M
Television,Andrew,2017-10-03,M
Music,Simon,2017-10-03,M
Music,Jon,2017-10-03,M
Europe,Lillie,2017-10-03,F
Europe,Katrin,2017-10-03,F
Pro Basketball,Seth,2017-10-03,M
Politics,Charlie,2017-10-03,M
Baseball,David,2017-10-06,M
Asia Pacific,Thomas,2017-10-06,M
Baseball,David,2017-10-06,M
Baseball,Tyler,2017-10-06,M
Middle East,Megan,2017-10-06,F
Americas,Joseph,2017-10-06,M
Canada,Ian,2017-10-06,M
Europe,Steven,2017-10-06,M
Contributors,Matteen,2017-10-06,M
Middle East,David,2017-10-06,M
DealBook,Rob,2017-10-06,M
Insider Events,Insider,2017-10-06,U
Insider Events,Insider,2017-10-06,U
Africa,Helene,2017-10-06,F
Baseball,Victor,2017-10-06,M
Africa,Eric,2017-10-06,M
Baseball,Filip,2017-10-06,M
Politics,Michael,2017-10-06,M
Book Review,Gregory,2017-10-06,M
Music,David,2017-10-06,M
Book Review,Joumana,2017-10-06,U
Dance,Gia,2017-10-06,F
Book Review,John,2017-10-06,M
Politics,Robert,2017-10-06,M
Europe,Stephen,2017-10-06,M
Media,Emily,2017-10-06,F
Book Review,Marilynne,2017-10-06,F
