section_name,firstname,pub_date,gender
Music,Zachary,2018-04-01,M
Television,Jennifer,2018-04-02,F
Television,Jennifer,2018-04-02,F
Politics,Adam,2018-04-02,M
Dance,Gia,2018-04-02,F
Television,Jennifer,2018-04-02,F
Politics,Adam,2018-04-02,M
Dance,Gia,2018-04-02,F
Television,Judy,2018-04-02,F
Television,Charles,2018-04-02,M
Family,Nicholas,2018-04-02,M
Politics,Adam,2018-04-02,M
Europe,Andrew,2018-04-02,M
Americas,Manuela,2018-04-02,F
New York Today,Jonathan,2018-04-02,M
Middle East,Isabel,2018-04-02,F
Politics,Katie,2018-04-02,F
Hockey,Jacey,2018-04-01,F
Asia Pacific,Richard,2018-04-02,M
Hockey,Jacey,2018-04-01,F
Asia Pacific,Mujib,2018-04-01,U
Asia Pacific,Choe,2018-04-01,U
Middle East,Isabel,2018-04-01,F
College Basketball,Jeré,2018-04-02,U
Americas,Kirk,2018-04-02,M
Asia Pacific,Hannah,2018-04-02,F
Asia Pacific,Andrew,2018-04-02,M
Middle East,Carlotta,2018-04-02,F
"Wine, Beer & Cocktails",Florence,2018-04-02,F
Americas,Kirk,2018-04-02,M
Politics,Julie,2018-04-02,F
Music,Ben,2018-04-01,M
Asia Pacific,Sameer,2018-04-01,M
Media,Janet,2018-04-01,F
Middle East,Carlotta,2018-04-02,F
Politics,Julie,2018-04-02,F
Americas,Kirk,2018-04-02,M
Live,Jane,2018-04-02,F
Television,Natalie,2018-04-02,F
The Daily,Michael,2018-04-02,M
Lesson Plans,Katherine,2018-04-02,F
Television,Andrew,2018-04-01,M
Politics,Katie,2018-04-01,F
Media,Brooks,2018-04-01,M
Family,Perri,2018-04-02,F
Television,Noel,2018-04-02,M
Politics,Michael,2018-04-02,M
Politics,Alan,2018-04-02,M
Politics,Matt,2018-04-01,M
Economy,Patricia,2018-04-02,F
Asia Pacific,Chris,2018-04-02,M
Politics,Liam,2018-04-02,M
Television,Graham,2018-04-02,M
Baseball,Billy,2018-04-02,M
Baseball,Tyler,2018-04-01,M
Art & Design,Andrew,2018-04-02,M
Politics,Nicholas,2018-04-01,M
Europe,Ellen,2018-04-01,F
Television,Sean,2018-04-02,M
Art & Design,Andrew,2018-04-02,M
Europe,Yonette,2018-04-01,U
Middle East,Isabel,2018-04-01,F
Media,Jacey,2018-04-02,F
Americas,Photographs,2018-04-02,U
Asia Pacific,Choe,2018-04-02,U
Television,James,2018-04-02,M
Television,Sara,2018-04-02,F
Asia Pacific,Rod,2018-04-02,M
Politics,Alan,2018-04-02,M
Pro Football,Deborah,2018-04-02,F
Book Review,Michael,2018-04-02,M
Soccer,Tariq,2018-04-02,M
Baseball,Billy,2018-04-02,M
Politics,Katie,2018-04-02,F
Politics,Erica,2018-04-01,F
Africa,Jina,2018-04-01,F
