section_name,firstname,pub_date,gender
Business Day,Noah,2017-07-02,M
U.S.,Jonah,2017-07-02,M
Opinion,Kj,2017-07-02,M
Books,Alexandra,2017-07-02,F
U.S.,John,2017-07-02,M
U.S.,Thomas,2017-07-02,M
Technology,Sheera,2017-07-02,F
Sports,Vincent,2017-07-02,M
World,Michael,2017-07-02,M
Crosswords & Games,Deb,2017-07-02,F
Business Day,Sapna,2017-07-02,F
U.S.,Michael,2017-07-02,M
Business Day,Cade,2017-07-02,M
Arts,Marina,2017-07-02,F
Theater,Elisabeth,2017-07-02,F
Arts,Mike,2017-07-02,M
Books,Jason,2017-07-02,M
Books,Jon,2017-07-02,M
Briefing,Stephen,2017-07-02,M
U.S.,Jeremy,2017-07-02,M
U.S.,Emily,2017-07-02,F
Sports,Chris,2017-07-02,M
N.Y. / Region,Paul,2017-07-02,M
Movies,Brooks,2017-07-02,M
World,Julia,2017-07-02,F
Arts,Peter,2017-07-02,M
Arts,Jon,2017-07-02,M
U.S.,Daniel,2017-07-02,M
Business Day,Michael,2017-07-02,M
World,Thomas,2017-07-02,M
N.Y. / Region,David,2017-07-02,M
Food,Sam,2017-07-02,M
World,Patrick,2017-07-02,M
World,Choe,2017-07-02,U
N.Y. / Region,Jeffery,2017-07-02,M
World,Rod,2017-07-02,M
Briefing,Maya,2017-07-02,F
World,Ben,2017-07-02,M
World,Nilo,2017-07-02,M
Real Estate,C.,2017-07-02,U
Science,Nick,2017-07-02,M
U.S.,Anna,2017-07-02,F
Arts,Kathryn,2017-07-02,F
Times Insider,Kat,2017-07-02,F
N.Y. / Region,Richard,2017-07-02,M
U.S.,Coral,2017-07-02,F
The Upshot,Claire,2017-07-02,F
World,Lisa,2017-07-02,F
Sports,Wallace,2017-07-02,M
U.S.,Dana,2017-07-02,F
U.S.,Matt,2017-07-02,M
World,Ben,2017-07-02,M
World,Elisabeth,2017-07-02,F
Sports,Billy,2017-07-02,M
N.Y. / Region,Lisa,2017-07-01,F
Arts,Ben,2017-07-01,M
Health,Abby,2017-07-01,F
Crosswords & Games,Deb,2017-07-01,F
Sports,Allan,2017-07-01,M
Climate,Hiroko,2017-07-01,F
Opinion,Selwyn,2017-07-01,M
Sunday Review,David,2017-07-01,M
Opinion,Carol,2017-07-01,F
U.S.,Nick,2017-07-01,M
U.S.,Jacey,2017-07-01,F
Sports,Scott,2017-07-01,M
Opinion,Mark,2017-07-01,M
World,Michael,2017-07-01,M
Opinion,Lindy,2017-07-01,F
Opinion,Frank,2017-07-01,M
Opinion,Ross,2017-07-01,M
Opinion,Maureen,2017-07-01,F
Opinion,Nicholas,2017-07-01,M
World,Sarah,2017-07-01,F
Theater,Jesse,2017-07-01,M
World,Andrew,2017-07-01,M
World,Patrick,2017-07-01,M
N.Y. / Region,Benjamin,2017-07-01,M
Sports,Tyler,2017-07-01,M
N.Y. / Region,Andy,2017-07-01,M
World,Rick,2017-07-01,M
Crosswords & Games,Deb,2017-07-01,F
World,Choe,2017-07-01,U
World,Motoko,2017-07-01,U
World,David,2017-07-01,M
U.S.,Caitlin,2017-07-01,F
U.S.,Michael,2017-07-01,M
Sports,Andrew,2017-07-01,M
Sports,Ben,2017-07-01,M
U.S.,Julie,2017-07-01,F
Opinion,Lesley,2017-07-01,F
Arts,Joe,2017-07-01,M
Fashion & Style,Nina,2017-07-01,F
Fashion & Style,Nina,2017-07-01,F
Fashion & Style,Vincent,2017-07-01,M
Real Estate,Ronda,2017-07-01,F
World,Sameer,2017-07-01,M
U.S.,Binyamin,2017-07-01,M
Technology,Mike,2017-07-01,M
World,Jason,2017-07-01,M
Fashion & Style,Jacob,2017-07-01,M
Fashion & Style,Matthew,2017-07-01,M
Style,Katherine,2017-07-01,F
Style,Ryan,2017-07-01,M
Fashion & Style,Taylor,2017-07-01,F
Fashion & Style,Elizabeth,2017-07-01,F
Technology,Conor,2017-07-01,M
Sports,Tyler,2017-07-01,M
Times Insider,Lela,2017-07-01,F
World,Austin,2017-07-01,M
Arts,Kathryn,2017-07-01,F
Sports,Billy,2017-07-01,M
U.S.,Matt,2017-07-01,M
Opinion,Morgan,2017-07-01,F
Sports,Wallace,2017-07-01,M
World,Austin,2017-07-01,M
Sports,Scott,2017-07-01,M
World,Alan,2017-07-01,M
Opinion,Ulrich,2017-07-01,M
Sports,Karen,2017-07-01,F
Arts,Ben,2017-07-01,M
Crosswords & Games,Deb,2017-07-01,F
N.Y. / Region,Nick,2017-07-01,M
Opinion,Bret,2017-07-01,M
N.Y. / Region,Sarah,2017-07-01,F
Business Day,Micah,2017-07-01,M
Sports,Adam,2017-07-01,M
N.Y. / Region,Marc,2017-07-01,M
World,Aurelien,2017-07-01,U
World,Damien,2017-07-01,M
Sports,Billy,2017-07-01,M
Opinion,Jamal,2017-07-01,M
Business Day,Benjamin,2017-07-01,M
World,Mark,2017-07-01,M
U.S.,Gardiner,2017-07-01,M
Business Day,Jim,2017-07-01,M
Sports,Allan,2017-07-01,M
U.S.,Michael,2017-07-01,M
Opinion,Theodore,2017-07-01,M
Sports,Filip,2017-07-01,M
Climate,Brad,2017-07-01,M
N.Y. / Region,Charles,2017-07-04,M
Opinion,Frank,2017-07-04,M
N.Y. / Region,James,2017-07-04,M
Sports,Wallace,2017-07-04,M
World,Nick,2017-07-04,M
U.S.,Julie,2017-07-04,F
Sports,James,2017-07-04,M
Sports,Malika,2017-07-04,F
Arts,Jon,2017-07-04,M
Business Day,Peter,2017-07-04,M
Times Insider,Katie,2017-07-04,F
Arts,Jeremy,2017-07-04,M
Books,Dwight,2017-07-04,M
Arts,Robin,2017-07-04,F
Sports,Harvey,2017-07-04,M
Business Day,Stanley,2017-07-04,M
Briefing,Penn,2017-07-04,M
U.S.,Vivian,2017-07-04,F
Arts,Brian,2017-07-04,M
Arts,Roslyn,2017-07-04,F
Real Estate,Rosalie,2017-07-04,F
World,Ed,2017-07-04,M
N.Y. / Region,Nikita,2017-07-04,F
Business Day,Stephanie,2017-07-04,F
Business Day,Bill,2017-07-04,M
World,James,2017-07-04,M
Fashion & Style,Dana,2017-07-04,F
N.Y. / Region,Kate,2017-07-04,F
World,Dan,2017-07-04,M
Sports,Ken,2017-07-04,M
Theater,Michael,2017-07-04,M
Fashion & Style,Elizabeth,2017-07-04,F
World,Isabel,2017-07-04,F
Business Day,Eduardo,2017-07-04,M
Science,Carl,2017-07-04,M
World,Thomas,2017-07-04,M
World,Mujib,2017-07-04,U
Technology,J.,2017-07-04,U
World,David,2017-07-04,M
Fashion & Style,Stuart,2017-07-04,M
Fashion & Style,Elizabeth,2017-07-04,F
Business Day,Stanley,2017-07-04,M
Arts,Zachary,2017-07-04,M
Business Day,Jack,2017-07-04,M
Business Day,Chad,2017-07-04,M
U.S.,Jess,2017-07-04,M
World,Austin,2017-07-04,M
Opinion,Eka,2017-07-04,U
U.S.,Ron,2017-07-04,M
Business Day,Ryan,2017-07-04,M
World,Felipe,2017-07-04,M
Books,Stephen,2017-07-04,M
Books,Linda,2017-07-04,F
World,Richard,2017-07-04,M
Real Estate,Kathy,2017-07-04,F
N.Y. / Region,Rick,2017-07-04,M
U.S.,Andrew,2017-07-04,M
Travel,Lucas,2017-07-04,M
Travel,Shivani,2017-07-04,F
Books,Nicole,2017-07-04,F
Business Day,Amie,2017-07-04,F
The Upshot,Neil,2017-07-04,M
Opinion,David,2017-07-04,M
Opinion,David,2017-07-04,M
Opinion,Don,2017-07-04,M
Opinion,Pramila,2017-07-04,U
Opinion,Mohammad,2017-07-04,M
Opinion,David,2017-07-04,M
Opinion,Clyde,2017-07-04,M
Opinion,Annette,2017-07-04,F
Opinion,Peter,2017-07-04,M
World,Choe,2017-07-04,U
Sports,David,2017-07-04,M
World,Adam,2017-07-04,M
Arts,Kathryn,2017-07-04,F
Briefing,Patrick,2017-07-04,M
World,Katrin,2017-07-04,F
Travel,Julie,2017-07-04,F
Sports,Seth,2017-07-04,M
Sports,James,2017-07-04,M
Well,Talya,2017-07-04,F
Arts,William,2017-07-04,M
Crosswords & Games,Deb,2017-07-04,F
World,Choe,2017-07-04,U
N.Y. / Region,Luis,2017-07-04,M
Sports,Richard,2017-07-04,M
Technology,Katie,2017-07-04,F
Business Day,Neal,2017-07-04,M
Opinion,Dale,2017-07-04,M
Sports,Harvey,2017-07-04,M
Sports,Scott,2017-07-04,M
N.Y. / Region,Sarah,2017-07-04,F
N.Y. / Region,Marc,2017-07-04,M
N.Y. / Region,Steven,2017-07-04,M
U.S.,Robert,2017-07-03,M
U.S.,Barbara,2017-07-03,F
N.Y. / Region,Nate,2017-07-03,M
Science,Joanna,2017-07-03,F
Opinion,Elizabeth,2017-07-03,F
World,Rick,2017-07-03,M
Business Day,Julie,2017-07-03,F
U.S.,Linda,2017-07-03,F
Briefing,Karen,2017-07-03,F
U.S.,Adam,2017-07-03,M
Arts,Sophie,2017-07-03,F
World,Eric,2017-07-03,M
U.S.,Jess,2017-07-03,M
Books,John,2017-07-03,M
Theater,Anita,2017-07-03,F
Climate,Lisa,2017-07-03,F
Food,Kim,2017-07-03,F
World,Megan,2017-07-03,F
Arts,Raphael,2017-07-03,M
Technology,Kelly,2017-07-03,F
