section_name,firstname,pub_date
Obituaries,Daniel,2016-08-01
Times Insider,Suzanne,2016-08-01
Obituaries,Jack,2016-08-01
Business Day,Liz,2016-08-01
N.Y. / Region,Dr,2016-08-01
Fashion & Style,Marisa,2016-08-01
Arts,Michael,2016-08-01
Movies,Mekado,2016-08-01
Sports,Billy,2016-08-01
T Magazine,Alainna,2016-08-01
N.Y. / Region,Emily,2016-08-01
Sports,Charly,2016-08-01
Science,Tatiana,2016-08-01
NYT Now,Andrea,2016-08-01
Times Insider,Insider,2016-08-01
Movies,Mekado,2016-08-01
Arts,Margaret,2016-08-01
Business Day,Jennifer,2016-08-01
T Magazine,Alex,2016-08-01
U.S.,Elsa,2016-08-01
T Magazine,Laura,2016-08-01
Sports,Wayne,2016-08-01
U.S.,Megan,2016-08-01
Multimedia/Photos,James,2016-08-01
U.S.,Daniel,2016-08-01
U.S.,Mike,2016-08-01
Opinion,Teresa,2016-08-01
Crosswords & Games,Gary,2016-08-01
Food,Sam,2016-08-01
Health,Kj,2016-08-01
World,International,2016-08-01
Health,Jennifer,2016-08-01
T Magazine,Dana,2016-08-01
U.S.,Adam,2016-08-01
Education,Cecilia,2016-08-01
U.S.,Katharine,2016-08-01
Education,Cecilia,2016-08-01
Obituaries,Vanessa,2016-08-01
World,International,2016-08-01
Opinion,Andrew,2016-08-01
Health,Perri,2016-08-01
Health,Nicholas,2016-08-01
N.Y. / Region,Alexandra,2016-08-01
Blogs,Amie,2016-08-01
NYT Now,Adeel,2016-08-01
Multimedia/Photos,Daido,2016-08-01
Universal,Taffy,2016-08-01
Opinion,Julia,2016-08-01
Opinion,Charles,2016-08-01
Opinion,Paul,2016-08-01
Opinion,Gary,2016-08-01
Opinion,Sarah,2016-08-01
Sports,Zach,2016-08-01
Health,Jane,2016-08-01
U.S.,Steven,2016-08-01
Travel,Christine,2016-08-01
Arts,Kathryn,2016-08-01
Sports,Karen,2016-08-01
Sports,Tom,2016-08-01
Universal,Geeta,2016-08-01
World,Mujib,2016-08-01
Arts,Bruce,2016-08-01
Theater,Charles,2016-08-01
Theater,Elisabeth,2016-08-01
Theater,Elisabeth,2016-08-01
Arts,Nate,2016-08-01
N.Y. / Region,Elizabeth,2016-08-01
Sports,Zach,2016-08-01
Sports,Harvey,2016-08-01
Business Day,Nelson,2016-08-01
U.S.,Jonathan,2016-08-01
U.S.,Kirk,2016-08-01
Business Day,Bill,2016-08-01
Business Day,William,2016-08-01
World,Andrew,2016-08-01
N.Y. / Region,Emily,2016-08-01
World,James,2016-08-01
World,Anne,2016-08-01
Sports,Marc,2016-08-01
Sports,Bill,2016-08-01
Business Day,Brooks,2016-08-01
U.S.,Mike,2016-08-01
Books,Jennifer,2016-08-01
Movies,Brooks,2016-08-01
N.Y. / Region,Jesse,2016-08-01
Arts,Michael,2016-08-01
Arts,Mike,2016-08-01
Business Day,Sydney,2016-08-01
Arts,James,2016-08-01
Arts,Chris,2016-08-01
Sports,James,2016-08-01
Sports,Billy,2016-08-01
World,David,2016-08-01
Sports,Tyler,2016-08-01
Health,Matt,2016-08-01
Sports,Brad,2016-08-01
U.S.,Nick,2016-08-01
Theater,Andrew,2016-08-01
