section_name,firstname,pub_date
Universal,Por,2015-10-01
Business Day,Jonah,2015-10-01
Fashion & Style,Matthew,2015-10-01
Movies,Anita,2015-10-01
Movies,Ken,2015-10-01
Movies,Glenn,2015-10-01
Movies,Helen,2015-10-01
Movies,Jeannette,2015-10-01
Movies,Anita,2015-10-01
Movies,Glenn,2015-10-01
Movies,Neil,2015-10-01
Movies,Jeannette,2015-10-01
Movies,Manohla,2015-10-01
Movies,A.,2015-10-01
Crosswords & Games,Deb,2015-10-01
N.Y. / Region,Ity,2015-10-01
Movies,Neil,2015-10-01
T Magazine,Photographs,2015-10-01
U.S.,Kezi,2015-10-01
Arts,Ity,2015-10-01
T Magazine,Nadia,2015-10-01
T Magazine,Photographs,2015-10-01
Movies,Manohla,2015-10-01
U.S.,Maggie,2015-10-01
T Magazine,Alexa,2015-10-01
T Magazine,Alexa,2015-10-01
T Magazine,Alexa,2015-10-01
NYT Now,Andrea,2015-10-01
Arts,Michael,2015-10-01
Arts,Serge,2015-10-01
U.S.,Koin,2015-10-01
Fashion & Style,Elinor,2015-10-01
Multimedia/Photos,Ania,2015-10-01
Movies,Sofia,2015-10-01
Movies,Sofia,2015-10-01
T Magazine,Photographs,2015-10-01
T Magazine,Ann,2015-10-01
T Magazine,Photographs,2015-10-01
T Magazine,Rebecca,2015-10-01
Movies,Sofia,2015-10-01
T Magazine,Hilary,2015-10-01
U.S.,Alan,2015-10-01
Movies,Sofia,2015-10-01
U.S.,Kj,2015-10-01
Movies,Mekado,2015-10-01
T Magazine,Lindsey,2015-10-01
T Magazine,Photographs,2015-10-01
Fashion & Style,Vanessa,2015-10-01
Education,Shannon,2015-10-01
Fashion & Style,Matthew,2015-10-01
T Magazine,Angela,2015-10-01
Opinion,Ross,2015-10-01
Multimedia/Photos,James,2015-10-01
Technology,Nick,2015-10-01
N.Y. / Region,Wpvi,2015-10-01
Arts,Michael,2015-10-01
U.S.,Amy,2015-10-01
Opinion,Paul,2015-10-01
T Magazine,Photographs,2015-10-01
World,Untv,2015-10-01
Opinion,Sherry,2015-10-01
Travel,Seth,2015-10-01
World,United,2015-10-01
World,International,2015-10-01
T Magazine,Laura,2015-10-01
T Magazine,Photographs,2015-10-01
Arts,Jennifer,2015-10-01
Health,Susan,2015-10-01
U.S.,Alan,2015-10-01
Arts,Michael,2015-10-01
U.S.,Nick,2015-10-01
T Magazine,Dan,2015-10-01
Health,Anahad,2015-10-01
Technology,Mark,2015-10-01
Arts,Jennifer,2015-10-01
U.S.,Frances,2015-10-01
Health,Lisa,2015-10-01
World,Russian,2015-10-01
T Magazine,Photographs,2015-10-01
World,International,2015-10-01
Technology,Pui-wing,2015-10-01
Theater,Erik,2015-10-01
Theater,Tony,2015-10-01
Crosswords & Games,Deb,2015-10-01
Fashion & Style,John,2015-10-01
