section_name,firstname,pub_date
Universal,Richard,2015-11-01
Travel,Diane,2015-11-01
Arts,Mike,2015-11-01
Arts,Jeremy,2015-11-01
Arts,Judith,2015-11-01
N.Y. / Region,Winnie,2015-11-01
Crosswords & Games,Deb,2015-11-01
World,Didi,2015-11-01
N.Y. / Region,Susanne,2015-11-01
U.S.,Maggie,2015-11-01
Arts,Brooks,2015-11-01
World,International,2015-11-01
U.S.,Maggie,2015-11-01
Opinion,Paul,2015-11-01
Arts,Kathryn,2015-11-01
Business Day,Jessica,2015-11-01
Opinion,Paul,2015-11-01
U.S.,Maggie,2015-11-01
Arts,Michael,2015-11-01
World,International,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
Sports,Benjamin,2015-11-01
U.S.,Jessica,2015-11-01
NYT Now,Andrea,2015-11-01
Technology,Quentin,2015-11-01
Sports,Billy,2015-11-01
Fashion & Style,Rosalie,2015-11-01
Fashion & Style,Vincent,2015-11-01
Sports,Tyler,2015-11-01
Sports,Tim,2015-11-01
N.Y. / Region,Rick,2015-11-01
Sports,David,2015-11-01
Sports,Melissa,2015-11-01
Sports,Tyler,2015-11-01
N.Y. / Region,Rick,2015-11-01
U.S.,Rick,2015-11-01
Sports,Marc,2015-11-01
U.S.,Michael,2015-11-01
U.S.,Kirk,2015-11-01
World,Nick,2015-11-01
U.S.,Manny,2015-11-01
U.S.,Patrick,2015-11-01
Business Day,Jad,2015-11-01
Sports,Joe,2015-11-01
Sports,Richard,2015-11-01
World,Chris,2015-11-01
World,Stephen,2015-11-01
Sports,Billy,2015-11-01
N.Y. / Region,Bruce,2015-11-01
U.S.,Jess,2015-11-01
Sunday Review,Steven,2015-11-01
U.S.,Trip,2015-11-01
Opinion,Cathy,2015-11-01
World,Peter,2015-11-01
Sports,Ben,2015-11-01
Sports,Bill,2015-11-01
N.Y. / Region,John,2015-11-01
Sports,Bill,2015-11-01
Sports,Dave,2015-11-01
N.Y. / Region,Neil,2015-11-01
Public Editor,Margaret,2015-11-01
Sunday Review,Anahad,2015-11-01
Sports,Ken,2015-11-01
Opinion,Ishani,2015-11-01
Opinion,Ada,2015-11-01
Opinion,Alessandra,2015-11-01
Opinion,Nicholas,2015-11-01
Opinion,Kate,2015-11-01
Opinion,Maureen,2015-11-01
Opinion,Ross,2015-11-01
World,Rod,2015-11-01
Opinion,Emily,2015-11-01
Opinion,Gabrielle,2015-11-01
Sports,Talya,2015-11-01
Sports,Zach,2015-11-01
Sports,Jeré,2015-11-01
Business Day,Adam,2015-11-01
Opinion,Brian,2015-11-01
World,Ellen,2015-11-01
Sports,Kelley,2015-11-01
Sports,Jill,2015-11-01
U.S.,Charlie,2015-11-01
Sports,Tom,2015-11-01
Arts,Kathryn,2015-11-01
Real Estate,Ronda,2015-11-01
World,James,2015-11-01
Technology,Mike,2015-11-01
World,Andrew,2015-11-01
Business Day,Liz,2015-11-01
The Upshot,Richard,2015-11-01
Fashion & Style,Alex,2015-11-01
Fashion & Style,Ruth,2015-11-01
Movies,William,2015-11-01
Fashion & Style,Bill,2015-11-01
Movies,Anita,2015-11-01
N.Y. / Region,Ginia,2015-11-01
N.Y. / Region,James,2015-11-01
Style,Sarah,2015-11-01
Sports,Juliet,2015-11-01
Opinion,Walter,2015-11-01
Opinion,Jane,2015-11-01
N.Y. / Region,Corey,2015-11-01
Fashion & Style,Daniel,2015-11-01
Arts,Dave,2015-11-01
N.Y. / Region,Sam,2015-11-01
N.Y. / Region,John,2015-11-01
Arts,Gia,2015-11-01
Fashion & Style,Linda,2015-11-01
Style,Henry,2015-11-01
Arts,Gia,2015-11-01
N.Y. / Region,Annie,2015-11-01
Real Estate,Joanne,2015-11-01
Real Estate,C.,2015-11-01
Movies,Dave,2015-11-01
Movies,Robert,2015-11-01
The Upshot,Michael,2015-11-01
Real Estate,Lisa,2015-11-01
Movies,Lorne,2015-11-01
Real Estate,Vivian,2015-11-01
Sports,Leander,2015-11-01
Business Day,Gretchen,2015-11-01
Opinion,William,2015-11-01
N.Y. / Region,Kirk,2015-11-01
Books,Marilyn,2015-11-01
Books,Michael,2015-11-01
Books,Judith,2015-11-01
Books,Miranda,2015-11-01
Books,Molly,2015-11-01
Books,Sara,2015-11-01
Books,Marilyn,2015-11-01
Sports,Marc,2015-11-01
Education,Daniel,2015-11-01
Education,Duff,2015-11-01
Travel,Justin,2015-11-01
Education,Manny,2015-11-01
Education,Claire,2015-11-01
Education,Ashley,2015-11-01
Education,Daniel,2015-11-01
Technology,Quentin,2015-11-01
Arts,Julianne,2015-11-01
Movies,Kathryn,2015-11-01
Real Estate,C.,2015-11-01
Travel,Christopher,2015-11-01
Travel,Lisa,2015-11-01
The Upshot,Neil,2015-11-01
Magazine,W.,2015-11-01
Magazine,Rosie,2015-11-01
Magazine,Malia,2015-11-01
Magazine,Sunhee,2015-11-01
Business Day,Ben,2015-11-01
Sports,David,2015-11-01
Style,Eleanor,2015-11-01
Travel,Stephanie,2015-11-01
Real Estate,David,2015-11-01
Job Market,Rob,2015-11-01
Education,David,2015-11-01
N.Y. / Region,Sarah,2015-11-01
N.Y. / Region,Joanne,2015-11-01
N.Y. / Region,Alice,2015-11-01
N.Y. / Region,Sylviane,2015-11-01
N.Y. / Region,Emily,2015-11-01
N.Y. / Region,Phillip,2015-11-01
N.Y. / Region,Dave,2015-11-01
Fashion & Style,Sophie,2015-11-01
Fashion & Style,Philip,2015-11-01
Fashion & Style,Alix,2015-11-01
Sports,Benjamin,2015-11-01
Arts,Zachary,2015-11-01
N.Y. / Region,Marissa,2015-11-01
Theater,Rebecca,2015-11-01
Movies,Manohla,2015-11-01
Magazine,Mark,2015-11-01
Travel,Steve,2015-11-01
Travel,Julie,2015-11-01
Magazine,Ferris,2015-11-01
Magazine,Bee,2015-11-01
Magazine,Interview,2015-11-01
Magazine,Etgar,2015-11-01
Books,Charles,2015-11-01
Books,Terrence,2015-11-01
Education,David,2015-11-01
Real Estate,Joyce,2015-11-01
Movies,Cara,2015-11-01
Arts,Geraldine,2015-11-01
Travel,Bonnie,2015-11-01
Arts,Judith,2015-11-01
Arts,Holland,2015-11-01
Arts,Jane,2015-11-01
N.Y. / Region,Charles,2015-11-01
N.Y. / Region,Charles,2015-11-01
Arts,Dorothy,2015-11-01
Movies,Cara,2015-11-01
Arts,Lori,2015-11-01
Arts,Vindu,2015-11-01
Arts,Robin,2015-11-01
Arts,Kerry,2015-11-01
Arts,J.,2015-11-01
Movies,Andy,2015-11-01
Arts,Holland,2015-11-01
Arts,Gia,2015-11-01
Arts,Jon,2015-11-01
Theater,Charles,2015-11-01
Arts,Vivien,2015-11-01
Arts,Ben,2015-11-01
Arts,Elise,2015-11-01
Arts,Geraldine,2015-11-01
Arts,Robin,2015-11-01
Magazine,Mohsin,2015-11-01
Magazine,Troy,2015-11-01
Magazine,Francis,2015-11-01
Travel,Shivani,2015-11-01
Magazine,John,2015-11-01
Magazine,Kwame,2015-11-01
Books,Christopher,2015-11-01
Books,Val,2015-11-01
Books,Joe,2015-11-01
Real Estate,Dave,2015-11-01
Education,Cecilia,2015-11-01
Arts,Michael,2015-11-01
Arts,Hilarie,2015-11-01
Arts,Ted,2015-11-01
Arts,Ted,2015-11-01
Arts,Judith,2015-11-01
Arts,John,2015-11-01
Arts,Quentin,2015-11-01
Arts,Robert,2015-11-01
Arts,John,2015-11-01
Arts,John,2015-11-01
Arts,Tom,2015-11-01
Arts,Judith,2015-11-01
Arts,Jane,2015-11-01
Magazine,Photographs,2015-11-01
Travel,Leslie,2015-11-01
Travel,Ceil,2015-11-01
Theater,Laura,2015-11-01
Magazine,Abraham,2015-11-01
Magazine,Anna,2015-11-01
Books,Jane,2015-11-01
Books,Merritt,2015-11-01
Education,Gordon,2015-11-01
